,first_words,last_words,source_video_id,body,start,end,topics
0,Well knew. This morning police need your help,"gunpoint, beating him and stealing his cell phone.",18246,"Well knew. This morning police need your help finding the group behind a string of violent robberies in the Bronx. Investigators are looking for the five suspects you see in these surveillance images. And they say two of the incidents happened just minutes apart on August 18. The first near Olenville Avenue and Waits Place. That's where five people beat a man before stealing his iPhone. Five minutes later, just before midnight, the same group attacked a 47 year old man on Brocks Park East, stealing his backpack. And police say in a third robbery on August 29 at the same location, the suspects robbed a man at gunpoint, beating him and stealing his cell phone.",464928,465082,"['0d817400-3f5d-41e0-929c-c31fdbe75d31', '96326734-fd82-4350-b45c-513e7eb9147c', 'b49207eb-96eb-4b73-b534-adc0ef85022a', 'e7cbe38d-c987-4113-aa94-fd77eda451d5']"
1,a call. San Francisco firefighters rescued a man,all the way down to the ocean.,12387,"a call. San Francisco firefighters rescued a man right near the Cliff house. They say he fell over this ledge here early this morning. If you're not familiar with the area, this is kind of just north end of Ocean Beach. You could see the firefighters. They're able to use their ropes and pull that man up about 20ft from the cement barrier down below. Now they say it could have been much worse. It was just about a foot or two away from going even farther down below, all the way down to the ocean.",359020,359162,"['0d817400-3f5d-41e0-929c-c31fdbe75d31', '6fbf954a-03f9-4782-a65f-783271c9c447', '96326734-fd82-4350-b45c-513e7eb9147c', 'b49207eb-96eb-4b73-b534-adc0ef85022a', 'ca197b81-ca86-4792-8c25-2ba7cd4195b5', 'e7cbe38d-c987-4113-aa94-fd77eda451d5', 'f5cdd7f2-9d4d-4ba5-9925-00c1701e30fa']"
2,"Paul. Meanwhile, the state set a record in","night through conservation, some 4000 conservation is extraordinary.",16859,"Paul. Meanwhile, the state set a record in energy demand yesterday at 52,061 isn't too far behind. We were, however, able to narrowly avoid rolling blackouts. State energy officials and governor newsom are crediting Californians for cutting back just enough yesterday to keep the grid from getting. Overwhelmed over the next two days. We're still going to have to be mindful of work yet to be done. That said, what folks were able to accomplish last night through conservation, some 4000 conservation is extraordinary.",60704,60922,"['0d817400-3f5d-41e0-929c-c31fdbe75d31', '39822b5f-e37e-43e8-b997-7142fe55c3ea', '6fbf954a-03f9-4782-a65f-783271c9c447', '96326734-fd82-4350-b45c-513e7eb9147c', '9a06646a-e1df-4fca-888e-69658420556b', 'b49207eb-96eb-4b73-b534-adc0ef85022a', 'ca197b81-ca86-4792-8c25-2ba7cd4195b5', 'e7cbe38d-c987-4113-aa94-fd77eda451d5']"
3,Emergency crews in Florida continue to search for,"in Florida to more than 850,000 homes. ",18246,"Emergency crews in Florida continue to search for survivors of last week's category four hurricane. The death toll from Hurricane Ian now stands at 76, and officials say it will likely climb. The Orange County Sheriff's Department in Orlando posted this video of deputy saving a woman whose car was swept away in floodwaters. As you can see, they formed a human chain and used a rope to bring her to safety. Kurzner also working to restore power to Florida in Florida to more than 850,000 homes. ",505290,505910,"['0d817400-3f5d-41e0-929c-c31fdbe75d31', '39822b5f-e37e-43e8-b997-7142fe55c3ea', '6fbf954a-03f9-4782-a65f-783271c9c447', '74e2fab8-689f-4e17-9a1c-e1f92e084f55', '96326734-fd82-4350-b45c-513e7eb9147c', 'b49207eb-96eb-4b73-b534-adc0ef85022a', 'ca197b81-ca86-4792-8c25-2ba7cd4195b5', 'e7cbe38d-c987-4113-aa94-fd77eda451d5']"
4,But even though the state never ordered rolling,feel since their power got cut out needlessly.,16859,"But even though the state never ordered rolling blackouts, some bay area neighborhoods did see their power cut. Hillsborough, Alameda and Palo Alto all shut off power to some customers. Kpxy. Sarah Dante is live in Alameda. Explain why officials in those cities say it's not their fault. A lot of finger pointing happening here today. Ryan with this story. So again, those rolling blackouts that happened, it turns out all of those were a mistake. A very costly, in some cases uncomfortable mistake. And we spent much of the day trying to figure out exactly what went wrong. Running a restaurant in the dark isn't just difficult, it's impossible. Just ask Stephanie. We can't take any card we don't have ride inside. So it's all dot her Alameda restaurant had the power cut off during its typically busy dinner hour, forcing them to close early. Customers were told it was part of a rolling blackout, but now it appears that was a mistake. Crazy. And we lost some more money. Yeah, that's it. Alameda along with yieldsburg and Palo Alto began rolling blackouts during Tuesday's statewide power crunch, leaving thousands without power during blazing heat. But Calyzo now says that was a miscommunication and that they simply asked utilities to be prepared. A direct request was for arming a firm load. As we conveyed to all the other utilities in California at that time, we had not progressed to rotating outages. And so I don't know, honestly, this morning exactly what happened there, but we will be in touch and certainly we're going to be doubling down our communication. Alameda Municipal Power says the Northern California Power Agency, a nonprofit that oversees several Northern California utilities, told it to begin load shedding operations. Experts say this is how the process normally goes. The grid operator makes the determination that it really doesn't want to make, that rolling blackouts needs to be called for. But the grid operator doesn't actually implement those blackouts. They have to talk to the utilities and ask them to put the blackouts in place. But Cal ISO points to a mix up between its dispatchers and those from the Northern California Power Agency that apparently led to some mixed messaging and the power unnecessarily being shut off for thousands. These are situations that obviously happen very infrequently, and there was a lot happening on the grid for everybody last night. And so we'll double down on the communication, make sure that doesn't happen again. So we just heard back from Northern California Power Agency who sent a very long statement and essentially said that, yes, their dispatcher misunderstood, gave the wrong orders, and that's what led to these blackouts. They also, interestingly enough, took time to give themselves something of a pat on the back, saying because they did this while it was an accident, it may have inadvertently helped the state manage their load. Of course, I'm not sure how the thousands of people here would feel since their power got cut out needlessly.",100910,101238,"['0d817400-3f5d-41e0-929c-c31fdbe75d31', '6fbf954a-03f9-4782-a65f-783271c9c447', '74e2fab8-689f-4e17-9a1c-e1f92e084f55', '96326734-fd82-4350-b45c-513e7eb9147c', 'b49207eb-96eb-4b73-b534-adc0ef85022a']"
5,"aid. And today, president Joe Biden and first",to view the destruction caused by Hurricane Ian.,18246,"aid. And today, president Joe Biden and first lady Jill Biden will survey damage in Puerto Rico more than two weeks after hurricane Fiona struck. Right now, New York City Department of Emergency Management personnel are working side by side with local first responders. While it's estimated rebuilding efforts will take years to complete, crews have been doing what they can to canvass the area, remove debris, and clear fallen trees. Helping with recovery efforts is a new data sharing system, OEM setup. It streamlines communications between New York City and Puerto Rico. New York. Emergency staff will remain in Puerto Rico through Thursday. The President will travel to Florida on Wednesday to view the destruction caused by Hurricane Ian.",546494,547150,"['0d817400-3f5d-41e0-929c-c31fdbe75d31', '39822b5f-e37e-43e8-b997-7142fe55c3ea', '6fbf954a-03f9-4782-a65f-783271c9c447', '83a09c6b-5f2f-421f-ae50-b38acca7e008', '96326734-fd82-4350-b45c-513e7eb9147c', 'b49207eb-96eb-4b73-b534-adc0ef85022a', 'e7cbe38d-c987-4113-aa94-fd77eda451d5']"
6,"In the last month, there have been numerous",are necessary to crack down on those hackers.,18246,"In the last month, there have been numerous data breaches at several major companies and agencies impacting our area, and among them, the Suffolk County Government Center, uber, DoorDash, American Airlines, and, uhaul, some of the others. Many New Yorkers are completely unaware of those cyber attacks. The concerns like our privacy. It's funny because we use Uber all the time nowadays. And some people, like me, I fly American Airlines. So it's like, is our data really secure or not? We don't know who these hackers are right now. Is it a private entity that's selling this information? Could it be, who knows, a government agency like Russia or Iran that wants to do havoc in America, particularly during these difficult times? Well, Senator Schumer is calling on the Federal Trade Commission to step up enforcement of cybersecurity and ensure companies are doing everything they can to protect consumer data. He's also called on the Department of justice to go after these hackers, giving special attention to Suffolk County. He pointed out the danger posed when Suffolk officials had to shut down all computers, county computers, rather, including the 911 emergency dispatch system. Cyber defense experts say tougher laws and federal laws are necessary to crack down on those hackers.",614910,615274,"['0d817400-3f5d-41e0-929c-c31fdbe75d31', '39822b5f-e37e-43e8-b997-7142fe55c3ea', '6fbf954a-03f9-4782-a65f-783271c9c447', '74e2fab8-689f-4e17-9a1c-e1f92e084f55', '96326734-fd82-4350-b45c-513e7eb9147c', 'ca197b81-ca86-4792-8c25-2ba7cd4195b5', 'e7cbe38d-c987-4113-aa94-fd77eda451d5', 'f5cdd7f2-9d4d-4ba5-9925-00c1701e30fa']"
7,and the warriors are playing the Boston Celtics,that. We'll see if they get it tonight.,12387,"and the warriors are playing the Boston Celtics in game five of the NBA Finals. And the winner of tonight's game will be one win away from a Championship. And with tip off now less than an hour away, it's time to begin our team coverage. Ktv is Amber Lee with fans at Thrive City. But first, let's go courtside inside Chase Center with our Joe Fonzie. Joe, how's it going? Hi, Julie. What you said is pretty simple. It's now down to three games, and whoever wins two of those three is the NBA champion. If the warriors can win it, that would be four Championships in eight years. And that's the type of stuff that you talk about when you say dynasties, especially given the fact that they missed two years of playoffs. And one of the major reasons that they were not in the playoffs for two years was what happened to Clay Thompson. He was injured in that Toronto Raptors series that the Raptors won in six games, the fifth consecutive trip to the Finals for the warriors and then two years of rehab for Clay. So we've been talking about that anniversary. It was three years ago, but another anniversary. It's very interesting that was brought up tonight. It was 25 years ago that the Warrior coach, Steve Kerr hit a shot that gave the Chicago Bulls a win over the Utah Jazz with 5 seconds left. That was the fifth of the Bulls six Championships. They did that in eight years. So another dynasty. And obviously when guys are around each other as much as they are in a series like that, topics come up like that. And Kerr was asked tonight to reflect on that moment in his career. The finals or the Finals, whether you're playing or you're coaching, it's the ultimate competition in the world of basketball. So there's a lot of nerves and a lot of excitement and a lot of stress and all that stuff. And I think my experience as a player has definitely helped me prepare to coach a team in the finals because I know what these guys are feeling. And you can see that we're counting down to tip off right now that's Clay Thompson out there going through his pregame routine. And I know that he's hoping that he doesn't have too many of those clients like that if he was trying for a three pointer there in his warmups. But as I said, guys, it's very simple now. It's just whoever wins two games and you have three opportunities to do that. The other thing that has been kind of a characteristic of this series, neither team has taken full advantage of home court advantage. They've split the two games here. They split the two games in Boston. It's home court advantage now to the warriors again. They've regained that. They take care of business at home. They're Champions. So that's where we stand right now. Both teams want to try to make a big step and win that third game with an eventual four necessary to be a champion guy. Yeah. And Joe, we were talking a little bit about this last night at Draymond Green, Steph Curry, Clay Thompson. They haven't really seemed to be quite in sync like they have been in previous series. Do you think we might see them come out altogether tonight? And if so, they're going to be a tough match up against the Celtics. Yes, no question about that. Julie, I was in Boston for games three and four and obviously like to listen to what the talk radio is saying in the hometown there. And they were saying we saw what Steph Curry did in game four. He had 43 points. Draymond has not had his best games. Clay had 18 in that game and had that big shot that gave them the lead. But I think you could say we have not seen vintage Clay Thompson or Drama Green yet in this series. And what the people in Boston fear, they know what Curry is if they get vintage of those other two guys, not to mention what Andrew Wiggins and Jordan Poole and Kevin Looney bring to the picture, they're afraid of the warriors, but so far, the warriors haven't gotten that. We'll see if they get it tonight.",419994,420182,"['0d817400-3f5d-41e0-929c-c31fdbe75d31', '39822b5f-e37e-43e8-b997-7142fe55c3ea', '6fbf954a-03f9-4782-a65f-783271c9c447', '74e2fab8-689f-4e17-9a1c-e1f92e084f55', '83a09c6b-5f2f-421f-ae50-b38acca7e008', '96326734-fd82-4350-b45c-513e7eb9147c', 'ca197b81-ca86-4792-8c25-2ba7cd4195b5', 'e7cbe38d-c987-4113-aa94-fd77eda451d5', 'f5cdd7f2-9d4d-4ba5-9925-00c1701e30fa']"
8,And San Leandro police searching for the person,footage to try to piece together more information.,16859,"And San Leandro police searching for the person who shot a guard and robbed an armored truck. This all happened just before noon, right outside the Kaiser Permanente Medical Center. Police say the guard had just picked up money and was on his way back to the truck. That's when the guard confronted the guard, or the gunman confronted the guard, shooting him in the chest. He was taken to the hospital and is now in critical condition. It looks like a robbery gone bad. I don't know if the robbery happened before the shooting or the shooting happened after the robbery, but they did leave with an undisclosed amount of cash. Police say they're now sifting through all nearby surveillance footage to try to piece together more information.",578612,578742,"['0d817400-3f5d-41e0-929c-c31fdbe75d31', '39822b5f-e37e-43e8-b997-7142fe55c3ea', '6fbf954a-03f9-4782-a65f-783271c9c447', '96326734-fd82-4350-b45c-513e7eb9147c', 'b49207eb-96eb-4b73-b534-adc0ef85022a', 'ca197b81-ca86-4792-8c25-2ba7cd4195b5', 'e7cbe38d-c987-4113-aa94-fd77eda451d5']"
9,The updated Bivalent Coronavirus booster shot is here.,on their vaccinations getting severe illness from coping.,16859,"The updated Bivalent Coronavirus booster shot is here. Many people headed to the Santa Clara County Fairgrounds for their dose. The shot will target the dominant almacron strains of the virus. The Pfizer booster is available for those twelve years and older and moderna for 18 and over. We do expect that it will continue to prevent that risk of severe disease, hospitalization and death. And while we've seen that mostly in elderly people and immunocompromised people, there are still some instances of hard to explain cases in younger, healthier people who are not up to date on their vaccinations getting severe illness from coping.",619310,619638,"['0d817400-3f5d-41e0-929c-c31fdbe75d31', '39822b5f-e37e-43e8-b997-7142fe55c3ea', '6fbf954a-03f9-4782-a65f-783271c9c447', '74e2fab8-689f-4e17-9a1c-e1f92e084f55', '96326734-fd82-4350-b45c-513e7eb9147c', '9a06646a-e1df-4fca-888e-69658420556b', 'b49207eb-96eb-4b73-b534-adc0ef85022a']"
