body,topic
 ,['39822b5f-e37e-43e8-b997-7142fe55c3ea']
 ,['0d817400-3f5d-41e0-929c-c31fdbe75d31']
 ,['83a09c6b-5f2f-421f-ae50-b38acca7e008']
 ,['6fbf954a-03f9-4782-a65f-783271c9c447']
"hello and welcome to BBC News a woman who gave key evidence in the trial of Gillen Maxwell has spoken publicly today saying she hopes the guilty verdict will bring some solace to other survivors Annie Farmer, the only witness to use her real name during testimony said the case demonstrated that no one was above the law Maxwell was found guilty yesterday by a jury New York of grooming underage girls to be abused by her friend Jeffrey Epstein her lawyers say they'll appeal against the ","['83a09c6b-5f2f-421f-ae50-b38acca7e008', '9ff54ded-904b-4e0c-85ce-a3617f5cb913']"
 ,['83a09c6b-5f2f-421f-ae50-b38acca7e008']
 ,"['83a09c6b-5f2f-421f-ae50-b38acca7e008', '96326734-fd82-4350-b45c-513e7eb9147c']"
 ,"['ca197b81-ca86-4792-8c25-2ba7cd4195b5', '83a09c6b-5f2f-421f-ae50-b38acca7e008']"
"news now out of North Hollywood. A 14 yearold girl was found dead inside a dressing room after police fired at a suspect. It happened at a Burlington store Thursday morning. Los Angeles police first responded to an assault call. Police shot at the suspect, who died. Behind him was a dressing room where the teen was hit by a bullet. The assault victim was injured and taken to a hospital today. A jury ",['9ff54ded-904b-4e0c-85ce-a3617f5cb913']
 ,"['83a09c6b-5f2f-421f-ae50-b38acca7e008', 'ebf2991e-4b7d-44c6-927b-a261a7b21d2c']"
 ,"['9ff54ded-904b-4e0c-85ce-a3617f5cb913', '9a06646a-e1df-4fca-888e-69658420556b']"
"homelessness his city's greatest failure. That was his message in tonight's State of the City address. As of the 2019 homeless count, San Jose had more than 60 unhoused residents in the city over the last year. Santa Clara County's Supportive Housing Network provided permanent housing to nearly 5000 people. The number of new unhoused residents declined by 29%. That's all according to our media partner, the Mercury News. Even so, Mayor Lacardo says there's much more work to be done in the Silicon Valley spirit ","['83a09c6b-5f2f-421f-ae50-b38acca7e008', '74e2fab8-689f-4e17-9a1c-e1f92e084f55', '6fbf954a-03f9-4782-a65f-783271c9c447']"
"Minneapolis police officer Kim Potter guilty of the death of Dante Wright. Potter was convicted on first and second degree manslaughter. Dante Wright was fatally shot in April during a traffic stop when Potter mistook her gun for her. Taser Wright's mother describes the moment she heard the verdict. I kind of let out a Yelp because it was built up in the anticipation of what was to come while we were waiting for the last few days. Potter tearfully testified last week. Today, she showed no emotion as the verdict was read. She's being held without bail and faces eleven in prison. Her sentence is set for February 18. Jersey Theranos trial of Elizabeth ","['83a09c6b-5f2f-421f-ae50-b38acca7e008', '9ff54ded-904b-4e0c-85ce-a3617f5cb913']"
 ,"['83a09c6b-5f2f-421f-ae50-b38acca7e008', '96326734-fd82-4350-b45c-513e7eb9147c']"
 ,"['83a09c6b-5f2f-421f-ae50-b38acca7e008', '96326734-fd82-4350-b45c-513e7eb9147c']"
Judy an update now to the wildfires that wiped out entire neighborhoods in Colorado. Authorities say at least seven people have been hurt when the fastmoving fire fueled by strong winds swept over drought stricken parts of Boulder County. At least 10 homes have been destroyed. The fire forcing as many as 350 people to leave their homes. Investigators believe downed power lines may have started the ,"['9ff54ded-904b-4e0c-85ce-a3617f5cb913', '9a06646a-e1df-4fca-888e-69658420556b']"
"the Sierra Nevada. Makes you want to cozy up under a warm blanket, doesn't it? The Lab predicts the heaviest snowfall will happen on Christmas. Santiago's, US higher elevations could get up to 85 inches of snow by this time next week. I can't even imagine that. That's all good news. Though, I have to say I'm a really long way to go. But, Sandy, ",['9a06646a-e1df-4fca-888e-69658420556b']
 ,"['96326734-fd82-4350-b45c-513e7eb9147c', '74e2fab8-689f-4e17-9a1c-e1f92e084f55']"
 ,['96326734-fd82-4350-b45c-513e7eb9147c']
"proposed emergency declaration for San Francisco's Tenderloin neighborhood. Abc Seven News reporter Tim Jones is following tonight's meeting and Tim supervisors are still debating nearly 9 hours into the meeting. Yes, that's right. It's been a very long meeting and it has definitely drawn a lot of attention and sparked well over 100 public comments from people passionately debating both sides of this issue. The San Francisco ","['83a09c6b-5f2f-421f-ae50-b38acca7e008', '96326734-fd82-4350-b45c-513e7eb9147c']"
"Holmes will not reach a verdict before Christmas. Today, the jury sent a second note to the judge requesting to replay audio recordings of phone calls Holmes had with investors. Jurors first heard recordings back in October, this time with a transcript. Holmes was accused of misleading investors in order to raise funds for the blood testing. Startup Deliberations are set to continue Monday morning. All right. If you're dreaming, a white Christmas this ",['83a09c6b-5f2f-421f-ae50-b38acca7e008']
"year is the place to be. There's already a lot of snow on the ground and it will keep falling throughout the weekend. A winter storm warning is in effect until Tuesday. That's welcome news, certainly for some holiday travelers. We joked that these storms were stuck in the supply chain ",['9ff54ded-904b-4e0c-85ce-a3617f5cb913']
"that. In South Africa today, a farewell to a global icon and Nobel Peace Prize laureate Archbishop Desmond Tutu. His scaled down funeral today at St. George's Cathedral in Cape Town, limited to 100 mourners because of the pandemic. Archbishop Tutu's simple coffin was accompanied by his grandchildren and his daughter. A Church Minister herself spoke about her ","['83a09c6b-5f2f-421f-ae50-b38acca7e008', 'ebf2991e-4b7d-44c6-927b-a261a7b21d2c', '6fbf954a-03f9-4782-a65f-783271c9c447']"
